Día,Fecha,Temperatura,Humedad,Presión
6,3,45,75,608
6,4,33,76,896
6,5,43,73,826
6,6,21,77,974
6,7,29,97,618
6,8,-6,69,831
6,9,33,54,912
6,10,0,37,814
6,11,-6,37,762
6,12,28,85,849
6,13,-8,81,896
6,14,4,42,625
6,15,36,13,814
6,16,46,79,979
6,17,-6,81,773
6,18,14,9,913
6,19,20,90,952
6,20,32,93,982
6,21,4,5,676
6,22,-1,32,609
6,23,-9,80,759
7,0,13,46,904
7,1,-5,55,996
7,2,6,30,636
7,3,11,39,686
7,4,43,41,675
7,5,-6,5,829
7,6,27,99,811
7,7,-8,41,883
7,8,32,39,662
7,9,9,1,940
7,10,43,43,924
7,11,13,84,759
7,12,-9,28,933
7,13,37,90,730
7,14,49,55,901
7,15,24,70,628
7,16,-5,76,786
7,17,29,69,759
7,18,31,30,626
7,19,31,44,731
7,20,21,23,997
7,21,1,26,936
7,22,11,24,677
7,23,42,3,894
8,0,37,33,903
8,1,15,18,889
8,2,1,91,727
8,3,32,74,794
8,4,20,83,802
8,5,-8,50,621
8,6,-4,15,1000
8,7,19,77,645
8,8,9,22,755
8,9,5,16,907
8,10,-3,44,913
8,11,20,28,770
8,12,21,91,640
8,13,13,29,902
8,14,30,61,892
8,15,35,15,936
8,16,9,46,914
8,17,47,92,932
8,18,7,56,626
8,19,14,96,655
8,20,17,45,886
8,21,19,2,621
8,22,41,75,740
8,23,32,35,603
9,0,50,37,618
9,1,13,6,975
9,2,24,7,658
9,3,10,26,1008
9,4,22,44,802
9,5,-8,3,832
9,6,25,97,973
9,7,49,16,672
9,8,41,7,1010
9,9,40,5,930
9,10,34,70,764
9,11,19,31,869
9,12,32,41,900
9,13,-4,52,949
9,14,16,65,692
9,15,17,9,720
9,16,22,59,1003
9,17,9,52,695
9,18,-10,69,712
9,19,22,22,819
9,20,39,100,883
9,21,10,76,814
9,22,35,86,784
9,23,21,56,790
10,0,1,86,973
10,1,44,70,868
10,2,15,99,887
10,3,-9,26,695
10,4,-4,92,803
10,5,19,92,766
10,6,1,96,756
10,7,12,68,752
10,8,17,55,695
10,9,46,80,978
10,10,34,27,835
10,11,-7,72,729
10,12,30,84,838
10,13,23,12,752
10,14,30,40,611
10,15,-9,41,894
10,16,5,47,856
10,17,-3,100,973
10,18,18,30,841
10,19,49,99,931
10,20,22,72,929
10,21,27,35,892
10,22,30,10,798
10,23,30,100,981
11,0,48,14,832
11,1,-2,98,946
11,2,46,15,778
11,3,3,66,621
11,4,16,44,696
11,5,45,24,670
11,6,15,8,929
11,7,26,73,903
11,8,-6,66,966
11,9,48,89,883
11,10,46,84,975
11,11,-2,89,964
11,12,21,12,969
11,13,1,95,668
11,14,19,42,847
11,15,-7,59,935
11,16,33,99,680
11,17,-2,86,978
11,18,24,33,1000
11,19,-3,3,787
11,20,48,76,769
11,21,34,42,895
11,22,-1,47,795
11,23,19,65,887
12,0,25,20,836
12,1,23,30,698
12,2,-8,24,669
12,3,22,20,604
12,4,8,41,775
12,5,8,26,934
12,6,49,15,992
12,7,46,85,866
12,8,24,59,605
12,9,41,2,656
12,10,-5,100,975
12,11,-2,17,678
12,12,34,33,603
12,13,20,45,874
12,14,19,66,924
12,15,45,78,620
12,16,5,1,979
12,17,-8,65,640
12,18,49,19,1002
12,19,-10,0,608
12,20,-4,17,605
12,21,41,11,639
12,22,-9,84,788
12,23,23,53,804
13,0,37,22,981
13,1,49,8,735
13,2,16,32,769
13,3,33,11,911
13,4,35,40,792
13,5,37,14,695
13,6,12,54,924
13,7,19,19,696
13,8,6,35,875
13,9,7,44,654
13,10,28,9,927
13,11,31,5,938
13,12,20,61,885
13,13,22,89,711
13,14,39,72,794
13,15,22,90,645
13,16,15,63,629
13,17,-3,100,651
13,18,4,70,804
13,19,-9,73,738
13,20,25,31,766
13,21,3,28,894
13,22,48,31,719
13,23,9,80,1008
14,0,17,23,642
14,1,8,89,700
14,2,7,39,815
14,3,18,77,1008
14,4,49,100,674
14,5,46,74,989
14,6,21,82,826
14,7,-7,70,614
14,8,29,75,991
14,9,16,30,994
14,10,25,29,933
14,11,42,84,959
14,12,7,26,899
14,13,49,56,650
14,14,32,55,735
14,15,50,23,1009
14,16,1,15,707
14,17,-2,41,940
14,18,4,86,618
14,19,21,44,822
14,20,18,48,734
14,21,24,73,671
14,22,27,25,987
14,23,30,72,942
15,0,1,16,677
15,1,36,36,724
15,2,49,49,750
15,3,49,2,921
15,4,37,99,617
15,5,-9,63,828
15,6,35,11,890
15,7,25,46,601
15,8,50,48,779
15,9,24,14,916
15,10,21,58,759
15,11,-5,35,826
15,12,33,76,905
15,13,45,92,783
15,14,44,75,690
15,15,27,44,613
15,16,21,98,880
15,17,-10,33,790
15,18,3,84,793
15,19,-7,4,821
15,20,19,62,969
15,21,26,87,941
15,22,-6,44,741
15,23,27,81,881
16,0,23,92,815
16,1,47,24,829
16,2,16,41,649
16,3,27,47,832
16,4,6,69,946
16,5,14,37,642
16,6,44,29,932
16,7,44,42,847
16,8,15,92,821
16,9,-1,81,923
16,10,25,58,742
16,11,18,53,821
16,12,0,100,901
16,13,20,65,716
16,14,-9,11,605
16,15,-2,13,739
16,16,29,91,741
16,17,-7,33,790
16,18,17,93,617
16,19,3,49,693
16,20,3,67,967
16,21,30,64,938
16,22,4,76,773
16,23,3,72,971
17,0,11,73,806
17,1,15,93,763
17,2,35,42,921
17,3,7,0,994
17,4,40,55,976
17,5,15,54,674
17,6,9,82,640
17,7,0,61,731
17,8,47,76,645
17,9,31,46,955
17,10,50,77,750
17,11,46,87,942
17,12,8,84,849
17,13,7,11,728
17,14,2,85,699
17,15,-10,18,787
17,16,39,66,726
17,17,49,20,949
17,18,6,60,974
17,19,37,24,966
17,20,38,88,841
17,21,5,51,763
17,22,43,10,998
17,23,39,77,835
18,0,-6,68,930
18,1,45,3,941
18,2,37,55,939
18,3,23,34,654
18,4,39,50,670
18,5,3,6,797
18,6,29,95,772
18,7,15,29,678
18,8,37,47,632
18,9,21,35,694
18,10,18,90,748
18,11,0,35,1009
18,12,31,31,828
18,13,-9,40,830
18,14,20,45,798
18,15,1,8,773
18,16,21,16,761
18,17,30,56,797
18,18,0,37,971
18,19,48,56,654
18,20,-6,52,854
18,21,-4,82,698
18,22,-8,94,895
18,23,16,8,781
19,0,9,26,936
19,1,2,79,1008
19,2,-5,3,984
19,3,-4,17,673
19,4,42,80,681
19,5,-7,72,642
19,6,9,79,826
19,7,9,92,1005
19,8,32,63,703
19,9,26,80,989
19,10,-9,70,862
19,11,41,39,686
19,12,12,92,622
19,13,20,91,666
19,14,9,81,717
19,15,2,51,955
19,16,8,7,940
19,17,17,57,1002
19,18,8,79,962
19,19,31,5,873
19,20,-5,47,645
19,21,36,89,752
19,22,48,68,817
19,23,3,95,650
20,0,41,19,868
20,1,42,49,700
20,2,30,39,778
20,3,12,42,609
20,4,3,94,768
20,5,31,76,769
20,6,44,30,867
20,7,1,73,747
20,8,10,100,732
20,9,8,28,661
20,10,47,54,970
20,11,9,78,988
20,12,-10,90,746
20,13,21,63,893
20,14,-8,50,967
20,15,8,62,980
20,16,50,91,885
20,17,14,16,853
20,18,34,27,771
20,19,38,96,920
20,20,45,90,952
20,21,-5,85,947
20,22,5,23,759
20,23,4,91,937
21,0,37,59,869
21,1,0,72,663
21,2,20,50,883
21,3,11,37,634
21,4,22,8,784
21,5,-5,68,904
21,6,31,72,817
21,7,16,79,813
21,8,31,87,919
21,9,33,63,815
21,10,-8,80,940
21,11,-7,91,960
21,12,-2,20,807
21,13,24,3,997
21,14,16,58,714
21,15,-9,75,919
21,16,-7,82,882
21,17,21,51,688
21,18,-9,83,626
21,19,6,9,831
21,20,22,93,987
21,21,16,67,690
21,22,5,2,709
21,23,36,85,794
22,0,37,76,981
22,1,49,49,979
22,2,32,47,959
22,3,-4,64,875
22,4,-8,65,752
22,5,26,51,909
22,6,41,10,730
22,7,-3,7,859
22,8,-3,9,858
22,9,48,98,643
22,10,-5,7,847
22,11,17,31,781
22,12,39,94,994
22,13,48,68,1010
22,14,0,61,943
22,15,4,74,890
22,16,14,93,1006
22,17,31,6,618
22,18,29,66,905
22,19,27,9,923
22,20,-8,96,795
22,21,3,9,805
22,22,12,31,939
22,23,-9,85,862
23,0,48,43,691
23,1,50,15,616
23,2,-10,50,995
23,3,6,59,618
23,4,28,10,699
23,5,41,23,729
23,6,2,13,917
23,7,20,55,789
23,8,2,96,844
23,9,2,20,969
23,10,13,95,732
23,11,-3,60,607
23,12,-9,80,708
23,13,39,19,639
23,14,-10,82,795
23,15,14,99,748
23,16,17,0,751
23,17,5,37,670
23,18,-10,33,838
23,19,2,1,836
23,20,23,40,980
23,21,29,83,610
23,22,-6,76,973
23,23,41,93,941
24,0,0,36,848
24,1,27,66,686
24,2,47,57,957
24,3,-2,97,826
24,4,4,6,652
24,5,33,45,762
24,6,29,76,935
24,7,27,29,927
24,8,45,52,904
24,9,9,12,931
24,10,6,14,961
24,11,46,86,846
24,12,40,12,996
24,13,3,52,845
24,14,-6,93,908
24,15,22,45,808
24,16,42,68,917
24,17,-6,20,960
24,18,14,75,856
24,19,42,38,975
24,20,18,88,893
24,21,33,34,615
24,22,25,6,603
24,23,8,60,666
25,0,0,92,983
25,1,25,65,787
25,2,-6,1,618
25,3,48,95,766
25,4,2,8,670
25,5,17,80,985
25,6,46,34,815
25,7,34,17,754
25,8,23,81,614
25,9,47,94,995
25,10,-10,44,900
25,11,3,74,953
25,12,-1,68,907
25,13,6,10,641
25,14,45,47,893
25,15,-2,63,780
25,16,9,22,964
25,17,-8,47,720
25,18,26,64,706
25,19,39,93,982
25,20,44,33,826
25,21,-2,2,981
25,22,46,15,832
25,23,-3,33,620
26,0,3,75,929
26,1,14,11,840
26,2,25,25,646
26,3,9,9,789
26,4,28,62,673
26,5,31,58,889
26,6,36,24,732
26,7,17,99,746
26,8,26,33,624
26,9,37,1,894
26,10,0,34,937
26,11,-6,91,1006
26,12,7,4,853
26,13,32,73,824
26,14,15,12,690
26,15,17,82,977
26,16,29,38,646
26,17,-7,15,920
26,18,0,50,641
26,19,1,23,991
26,20,-7,37,895
26,21,13,75,693
26,22,-5,44,1004
26,23,33,6,887
27,0,43,56,862
27,1,46,90,685
27,2,25,33,865
27,3,37,41,1002
27,4,23,61,910
27,5,38,3,750
27,6,26,54,765
27,7,-4,58,687
27,8,37,55,872
27,9,16,54,800
27,10,40,60,770
27,11,15,89,787
27,12,-4,52,640
27,13,26,41,711
27,14,18,46,661
27,15,35,31,984
27,16,9,91,707
27,17,19,60,763
27,18,21,58,829
27,19,42,11,771
27,20,-3,84,823
27,21,-2,43,987
27,22,7,35,735
27,23,6,23,884
28,0,42,11,650
28,1,0,0,715
28,2,40,41,994
28,3,36,72,909
28,4,15,12,887
28,5,-7,46,740
28,6,10,35,769
28,7,-4,52,944
28,8,4,33,621
28,9,28,11,790
28,10,-9,52,791
28,11,7,39,792
28,12,19,8,884
28,13,48,5,940
28,14,7,80,708
28,15,12,47,970
28,16,41,97,806
28,17,42,27,885
28,18,4,58,956
28,19,46,98,970
28,20,12,94,747
28,21,28,64,938
28,22,5,46,740
28,23,48,42,706
29,0,13,33,966
29,1,34,76,691
29,2,8,74,790
29,3,-3,46,761
29,4,38,99,708
29,5,32,94,1002
29,6,-2,6,929
29,7,-7,97,960
29,8,50,58,998
29,9,50,5,910
29,10,48,80,869
29,11,44,96,1000
29,12,37,13,614
29,13,23,21,882
29,14,49,74,607
29,15,-10,92,931
29,16,-7,55,816
29,17,32,87,626
29,18,49,16,916
29,19,3,50,690
29,20,10,14,718
29,21,10,71,947
29,22,44,23,838
29,23,1,41,840
30,0,44,98,845
30,1,-7,46,693
30,2,1,62,789
30,3,-8,89,688
30,4,-7,65,729
30,5,7,12,865
30,6,-2,34,836
30,7,32,30,916
30,8,49,24,735
30,9,49,100,935
30,10,-2,88,893
30,11,37,87,806
30,12,-10,95,690
30,13,14,17,779
30,14,50,48,655
30,15,16,36,931
30,16,-9,72,610
30,17,14,59,863
30,18,6,42,696
30,19,3,81,721
30,20,39,75,835
30,21,-6,52,858
30,22,22,18,849
30,23,-6,17,855
